Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED1,SKC6812RGBW,LED_SKC6812RGBW_5050,209.8599mm,210.0000mm,0.00,Top
LED2,SKC6812RGBW,LED_SKC6812RGBW_5050,194.8599mm,235.9808mm,30.00,Top
LED3,SKC6812RGBW,LED_SKC6812RGBW_5050,179.8599mm,210.0000mm,90.00,Top
LED4,SKC6812RGBW,LED_SKC6812RGBW_5050,194.8599mm,184.0192mm,150.00,Top
LED5,SKC6812RGBW,LED_SKC6812RGBW_5050,224.8599mm,184.0192mm,210.00,Top
LED6,SKC6812RGBW,LED_SKC6812RGBW_5050,239.8599mm,210.0000mm,270.00,Top
LED7,SKC6812RGBW,LED_SKC6812RGBW_5050,224.8599mm,235.9808mm,330.00,Top
LED8,SKC6812RGBW,LED_SKC6812RGBW_5050,225.3890mm,267.9555mm,345.00,Top
LED9,SKC6812RGBW,LED_SKC6812RGBW_5050,252.2863mm,252.4264mm,315.00,Top
LED10,SKC6812RGBW,LED_SKC6812RGBW_5050,267.8154mm,225.5291mm,285.00,Top
LED11,SKC6812RGBW,LED_SKC6812RGBW_5050,267.8154mm,194.4709mm,255.00,Top
LED12,SKC6812RGBW,LED_SKC6812RGBW_5050,252.2863mm,167.5736mm,225.00,Top
LED13,SKC6812RGBW,LED_SKC6812RGBW_5050,225.3890mm,152.0445mm,195.00,Top
LED14,SKC6812RGBW,LED_SKC6812RGBW_5050,194.3308mm,152.0445mm,165.00,Top
LED15,SKC6812RGBW,LED_SKC6812RGBW_5050,167.4335mm,167.5736mm,135.00,Top
LED16,SKC6812RGBW,LED_SKC6812RGBW_5050,151.9043mm,194.4709mm,105.00,Top
LED17,SKC6812RGBW,LED_SKC6812RGBW_5050,151.9043mm,225.5291mm,75.00,Top
LED18,SKC6812RGBW,LED_SKC6812RGBW_5050,167.4335mm,252.4264mm,45.00,Top
LED19,SKC6812RGBW,LED_SKC6812RGBW_5050,194.3308mm,267.9555mm,15.00,Top
LED20,SKC6812RGBW,LED_SKC6812RGBW_5050,194.2316mm,298.6327mm,10.00,Top
LED21,SKC6812RGBW,LED_SKC6812RGBW_5050,164.8599mm,287.9423mm,30.00,Top
LED22,SKC6812RGBW,LED_SKC6812RGBW_5050,140.9159mm,267.8509mm,50.00,Top
LED23,SKC6812RGBW,LED_SKC6812RGBW_5050,125.2876mm,240.7818mm,70.00,Top
LED24,SKC6812RGBW,LED_SKC6812RGBW_5050,119.8599mm,210.0000mm,90.00,Top
LED25,SKC6812RGBW,LED_SKC6812RGBW_5050,125.2876mm,179.2182mm,110.00,Top
LED26,SKC6812RGBW,LED_SKC6812RGBW_5050,140.9159mm,152.1491mm,130.00,Top
LED27,SKC6812RGBW,LED_SKC6812RGBW_5050,164.8599mm,132.0577mm,150.00,Top
LED28,SKC6812RGBW,LED_SKC6812RGBW_5050,194.2316mm,121.3673mm,170.00,Top
LED29,SKC6812RGBW,LED_SKC6812RGBW_5050,225.4882mm,121.3673mm,190.00,Top
LED30,SKC6812RGBW,LED_SKC6812RGBW_5050,254.8599mm,132.0577mm,210.00,Top
LED31,SKC6812RGBW,LED_SKC6812RGBW_5050,278.8039mm,152.1491mm,230.00,Top
LED32,SKC6812RGBW,LED_SKC6812RGBW_5050,294.4322mm,179.2182mm,250.00,Top
LED33,SKC6812RGBW,LED_SKC6812RGBW_5050,299.8599mm,210.0000mm,270.00,Top
LED34,SKC6812RGBW,LED_SKC6812RGBW_5050,294.4322mm,240.7818mm,290.00,Top
LED35,SKC6812RGBW,LED_SKC6812RGBW_5050,278.8039mm,267.8509mm,310.00,Top
LED36,SKC6812RGBW,LED_SKC6812RGBW_5050,254.8599mm,287.9423mm,330.00,Top
LED37,SKC6812RGBW,LED_SKC6812RGBW_5050,225.4882mm,298.6327mm,350.00,Top
LED38,SKC6812RGBW,LED_SKC6812RGBW_5050,224.8999mm,329.0538mm,352.80,Top
LED39,SKC6812RGBW,LED_SKC6812RGBW_5050,254.0348mm,321.5732mm,338.40,Top
LED40,SKC6812RGBW,LED_SKC6812RGBW_5050,280.3941mm,307.0820mm,324.00,Top
LED41,SKC6812RGBW,LED_SKC6812RGBW_5050,302.3215mm,286.4909mm,309.60,Top
LED42,SKC6812RGBW,LED_SKC6812RGBW_5050,318.4391mm,261.0935mm,295.20,Top
LED43,SKC6812RGBW,LED_SKC6812RGBW_5050,327.7344mm,232.4858mm,280.80,Top
LED44,SKC6812RGBW,LED_SKC6812RGBW_5050,329.6231mm,202.4651mm,266.40,Top
LED45,SKC6812RGBW,LED_SKC6812RGBW_5050,323.9867mm,172.9180mm,252.00,Top
LED46,SKC6812RGBW,LED_SKC6812RGBW_5050,311.1792mm,145.7008mm,237.60,Top
LED47,SKC6812RGBW,LED_SKC6812RGBW_5050,292.0056mm,122.5238mm,223.20,Top
