Designator,Mid X,Mid Y,Rotation,Layer
C1,262.8483,291.0026,90.0,top
C10,326.8698,305.637,15.0,top
C100,428.8509,371.8079,26.757,top
C101,440.898,342.9417,17.027,top
C102,447.8936,312.4548,7.297,top
C103,449.6361,281.2243,357.568,top
C104,446.0756,250.1483,347.838,top
C105,437.3145,220.1212,338.108,top
C106,423.6048,192.0066,328.378,top
C107,405.3409,166.6133,318.649,top
C108,383.0483,144.672,308.919,top
C109,357.3681,126.8137,299.189,top
C11,328.138,272.3012,345.0,top
C110,329.0393,113.5522,289.459,top
C111,298.8768,105.2691,279.73,top
C112,267.7483,102.2026,270.0,top
C113,236.5493,104.4409,260.27,top
C114,206.1774,111.9199,250.541,top
C115,177.5062,124.424,240.811,top
C116,151.3607,141.5937,231.081,top
C117,128.493,162.935,221.351,top
C118,109.561,187.8341,211.622,top
C119,95.1091,215.5745,201.892,top
C12,312.5684,242.7973,315.0,top
C120,85.5533,245.3583,192.162,top
C121,81.1684,276.3287,182.432,top
C122,82.0807,307.5945,172.703,top
C123,88.2638,338.2565,162.973,top
C124,99.5397,367.4325,153.243,top
C125,115.5844,394.2832,143.514,top
C126,135.936,418.036,133.784,top
C127,160.0091,438.0078,124.054,top
C128,187.1112,453.624,114.324,top
C129,216.4625,464.4352,104.595,top
C13,284.3327,225.0311,285.0,top
C130,247.2189,470.1305,94.865,top
C131,247.2047,500.2518,94.186,top
C132,216.2899,495.3405,102.558,top
C133,186.4197,485.9805,110.93,top
C134,158.2307,472.371,119.302,top
C135,132.3235,454.8021,127.674,top
C136,109.2505,433.6483,136.047,top
C137,89.5035,409.3606,144.419,top
C138,73.5031,382.4565,152.791,top
C139,61.5905,353.5094,161.163,top
C14,250.9969,223.7629,255.0,top
C140,54.0197,323.1362,169.535,top
C141,50.9519,291.9845,177.907,top
C142,52.4525,260.7181,186.279,top
C143,58.4894,230.0034,194.651,top
C144,68.9343,200.4949,203.023,top
C145,83.5642,172.8217,211.395,top
C146,102.0675,147.5736,219.767,top
C147,124.0498,125.2885,228.14,top
C148,149.0426,106.4417,236.512,top
C149,176.5132,91.4346,244.88400000000001,top
C15,221.493,239.3325,225.0,top
C150,205.876,80.5872,253.256,top
C151,236.5054,74.1307,261.628,top
C152,267.7483,72.2026,270.0,top
C153,298.939,74.8441,278.372,top
C154,329.4128,81.9989,286.744,top
C155,358.5201,93.5144,295.116,top
C156,385.6406,109.1453,303.488,top
C157,410.1961,128.5583,311.86,top
C158,431.6635,151.34,320.233,top
C159,449.5849,177.0043,328.605,top
C16,203.7267,267.5682,195.0,top
C160,463.5787,205.0046,336.977,top
C161,473.3465,234.744,345.349,top
C162,478.6801,265.5887,353.721,top
C163,479.4658,296.8813,2.093,top
C164,475.6869,327.9547,10.465,top
C165,467.424,358.1469,18.837,top
C166,454.853,386.8142,27.209,top
C167,438.2421,413.3457,35.581,top
C168,417.9451,437.1759,43.953,top
C169,394.3948,457.7969,52.326,top
C17,202.4585,300.904,165.0,top
C170,368.0929,474.7691,60.698,top
C171,339.6003,487.7309,69.07,top
C172,309.5239,496.4059,77.442,top
C173,278.505,500.6095,85.814,top
C18,218.0282,330.4079,135.0,top
C19,246.2639,348.1741,105.0,top
C2,245.9765,315.1689,120.0,top
C20,246.4932,379.143,100.0,top
C21,215.9765,367.1304,120.0,top
C22,191.4089,345.405,140.0,top
C23,175.7534,316.587,160.0,top
C24,170.8983,284.1526,180.0,top
C25,177.4293,252.0137,200.0,top
C26,194.5585,224.0466,220.0,top
C27,220.2201,203.6248,240.0,top
C28,251.3187,193.2113,260.0,top
C29,284.1034,194.0622,280.0,top
C3,230.8983,284.1526,180.0,top
C30,314.6201,206.0748,300.0,top
C31,339.1877,227.8002,320.0,top
C32,354.8432,256.6182,340.0,top
C33,359.6983,289.0526,0.0,top
C34,353.1673,321.1915,20.0,top
C35,336.0381,349.1586,40.0,top
C36,310.3765,369.5804,60.0,top
C37,279.2779,379.9939,80.0,top
C38,278.4591,410.3288,82.8,top
C39,308.815,403.1687,68.4,top
C4,250.2201,255.5863,240.0,top
C40,336.4367,388.6843,54.0,top
C41,359.5885,367.7859,39.6,top
C42,376.8156,341.7864,25.2,top
C43,387.0358,312.3195,10.8,top
C44,389.6067,281.2366,356.4,top
C45,384.3668,250.491,342.0,top
C46,371.6454,222.0144,327.6,top
C47,352.242,197.5961,313.2,top
C48,327.3754,178.7703,298.8,top
C49,298.6084,166.7201,284.4,top
C5,284.6201,258.0363,300.0,top
C50,267.7483,162.2026,270.0,top
C51,236.7343,165.5015,255.6,top
C52,207.5151,176.4098,241.2,top
C53,181.9266,194.2418,226.8,top
C54,161.5766,217.8772,212.4,top
C55,147.7439,245.8308,198.0,top
C56,141.2976,276.3463,183.6,top
C57,142.6427,307.5063,169.2,top
C58,151.6947,337.3527,154.8,top
C59,167.8848,364.0104,140.4,top
C6,299.6983,289.0526,0.0,top
C60,190.1958,385.8042,126.0,top
C61,217.2257,401.3649,111.6,top
C62,247.2762,409.7146,97.2,top
C63,247.2405,439.9626,95.806,top
C64,216.739,433.1883,107.419,top
C65,188.2255,420.4128,119.032,top
C66,162.8674,402.159,130.645,top
C67,141.7028,379.1744,142.258,top
C68,125.5983,352.3998,153.871,top
C69,115.2131,322.9316,165.484,top
C7,280.3765,317.6189,60.0,top
C70,110.9724,291.976,177.097,top
C71,113.0498,260.8003,188.71,top
C72,121.3603,230.6811,200.323,top
C73,135.5636,202.8514,211.935,top
C74,155.0782,178.4504,223.548,top
C75,179.1054,158.4771,235.161,top
C76,206.6612,143.7493,246.774,top
C77,236.6176,134.87,258.387,top
C78,267.7483,132.2026,270.0,top
C79,298.7787,135.8564,281.613,top
C8,279.5997,349.4423,75.0,top
C80,328.4383,145.6817,293.226,top
C81,355.513,161.2764,304.839,top
C82,378.8943,182.0019,316.452,top
C83,397.6249,207.0098,328.065,top
C84,410.9381,235.2761,339.677,top
C85,418.2888,265.6438,351.29,top
C86,419.3761,296.8697,2.903,top
C87,414.1553,327.6752,14.516,top
C88,402.8404,356.7991,26.129,top
C89,385.8944,383.0492,37.742,top
C9,309.1036,333.8727,45.0,top
C90,364.0113,405.3507,49.355,top
C91,338.0868,422.7907,60.968,top
C92,309.1823,434.6551,72.581,top
C93,278.4812,440.4583,84.194,top
C94,278.4954,470.546,85.135,top
C95,309.3921,465.6699,75.405,top
C96,339.0203,455.6423,65.676,top
C97,366.5278,440.7517,55.946,top
C98,391.1231,421.4266,46.216,top
C99,412.0986,398.2228,36.486,top
J_IN,464.3583,286.6026,90.0,bottom
J_OUT,66.2383,286.6026,270.0,bottom
LED1,265.2983,286.6026,0.0,top
