Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED1,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0000mm,24.2367mm,356.25,Top
LED2,SKC6812RGBW,LED_SKC6812RGBW_5050,31.1249mm,20.1390mm,348.75,Top
LED3,SKC6812RGBW,LED_SKC6812RGBW_5050,61.4487mm,12.0138mm,341.25,Top
LED4,SKC6812RGBW,LED_SKC6812RGBW_5050,90.4525mm,0.0000mm,333.75,Top
LED5,SKC6812RGBW,LED_SKC6812RGBW_5050,103.7212mm,26.9062mm,333.75,Top
LED6,SKC6812RGBW,LED_SKC6812RGBW_5050,71.0919mm,40.4217mm,341.25,Top
LED7,SKC6812RGBW,LED_SKC6812RGBW_5050,36.9776mm,49.5626mm,348.75,Top
LED8,SKC6812RGBW,LED_SKC6812RGBW_5050,1.9621mm,54.1725mm,356.25,Top
LED9,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0040mm,84.3394mm,357.00,Top
LED10,SKC6812RGBW,LED_SKC6812RGBW_5050,31.2336mm,81.0570mm,351.00,Top
LED11,SKC6812RGBW,LED_SKC6812RGBW_5050,61.9490mm,74.5283mm,345.00,Top
LED12,SKC6812RGBW,LED_SKC6812RGBW_5050,91.8136mm,64.8247mm,339.00,Top
LED13,SKC6812RGBW,LED_SKC6812RGBW_5050,120.5004mm,52.0525mm,333.00,Top
LED14,SKC6812RGBW,LED_SKC6812RGBW_5050,134.1201mm,78.7827mm,333.00,Top
LED15,SKC6812RGBW,LED_SKC6812RGBW_5050,102.5647mm,92.8321mm,339.00,Top
LED16,SKC6812RGBW,LED_SKC6812RGBW_5050,69.7135mm,103.5061mm,345.00,Top
LED17,SKC6812RGBW,LED_SKC6812RGBW_5050,35.9266mm,110.6877mm,351.00,Top
LED18,SKC6812RGBW,LED_SKC6812RGBW_5050,1.5741mm,114.2983mm,357.00,Top
LED19,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0062mm,144.4079mm,357.50,Top
LED20,SKC6812RGBW,LED_SKC6812RGBW_5050,31.2927mm,141.6707mm,352.50,Top
LED21,SKC6812RGBW,LED_SKC6812RGBW_5050,62.2215mm,136.2171mm,347.50,Top
LED22,SKC6812RGBW,LED_SKC6812RGBW_5050,92.5573mm,128.0886mm,342.50,Top
LED23,SKC6812RGBW,LED_SKC6812RGBW_5050,122.0693mm,117.3472mm,337.50,Top
LED24,SKC6812RGBW,LED_SKC6812RGBW_5050,150.5327mm,104.0744mm,332.50,Top
LED25,SKC6812RGBW,LED_SKC6812RGBW_5050,164.3852mm,130.6848mm,332.50,Top
LED26,SKC6812RGBW,LED_SKC6812RGBW_5050,133.5498mm,145.0636mm,337.50,Top
LED27,SKC6812RGBW,LED_SKC6812RGBW_5050,101.5785mm,156.7002mm,342.50,Top
LED28,SKC6812RGBW,LED_SKC6812RGBW_5050,68.7147mm,165.5060mm,347.50,Top
LED29,SKC6812RGBW,LED_SKC6812RGBW_5050,35.2085mm,171.4140mm,352.50,Top
LED30,SKC6812RGBW,LED_SKC6812RGBW_5050,1.3148mm,174.3793mm,357.50,Top
LED31,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0076mm,204.4568mm,357.86,Top
LED32,SKC6812RGBW,LED_SKC6812RGBW_5050,31.3283mm,202.1097mm,353.57,Top
LED33,SKC6812RGBW,LED_SKC6812RGBW_5050,62.3861mm,197.4285mm,349.29,Top
LED34,SKC6812RGBW,LED_SKC6812RGBW_5050,93.0072mm,190.4394mm,345.00,Top
LED35,SKC6812RGBW,LED_SKC6812RGBW_5050,123.0205mm,181.1815mm,340.71,Top
LED36,SKC6812RGBW,LED_SKC6812RGBW_5050,152.2579mm,169.7067mm,336.43,Top
LED37,SKC6812RGBW,LED_SKC6812RGBW_5050,180.5561mm,156.0790mm,332.14,Top
LED38,SKC6812RGBW,LED_SKC6812RGBW_5050,194.5741mm,182.6025mm,332.14,Top
LED39,SKC6812RGBW,LED_SKC6812RGBW_5050,164.2547mm,197.2036mm,336.43,Top
LED40,SKC6812RGBW,LED_SKC6812RGBW_5050,132.9288mm,209.4980mm,340.71,Top
LED41,SKC6812RGBW,LED_SKC6812RGBW_5050,100.7718mm,219.4172mm,345.00,Top
LED42,SKC6812RGBW,LED_SKC6812RGBW_5050,67.9635mm,226.9055mm,349.29,Top
LED43,SKC6812RGBW,LED_SKC6812RGBW_5050,34.6873mm,231.9210mm,353.57,Top
LED44,SKC6812RGBW,LED_SKC6812RGBW_5050,1.1293mm,234.4359mm,357.86,Top
LED45,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0084mm,264.4935mm,358.12,Top
LED46,SKC6812RGBW,LED_SKC6812RGBW_5050,31.3515mm,262.4392mm,354.38,Top
LED47,SKC6812RGBW,LED_SKC6812RGBW_5050,62.4931mm,258.3393mm,350.62,Top
LED48,SKC6812RGBW,LED_SKC6812RGBW_5050,93.2999mm,252.2115mm,346.88,Top
LED49,SKC6812RGBW,LED_SKC6812RGBW_5050,123.6399mm,244.0819mm,343.12,Top
LED50,SKC6812RGBW,LED_SKC6812RGBW_5050,153.3833mm,233.9854mm,339.38,Top
LED51,SKC6812RGBW,LED_SKC6812RGBW_5050,182.4026mm,221.9652mm,335.62,Top
LED52,SKC6812RGBW,LED_SKC6812RGBW_5050,210.5737mm,208.0727mm,331.88,Top
LED53,SKC6812RGBW,LED_SKC6812RGBW_5050,224.7156mm,234.5304mm,331.88,Top
LED54,SKC6812RGBW,LED_SKC6812RGBW_5050,194.7838mm,249.2911mm,335.62,Top
LED55,SKC6812RGBW,LED_SKC6812RGBW_5050,163.9508mm,262.0626mm,339.38,Top
LED56,SKC6812RGBW,LED_SKC6812RGBW_5050,132.3484mm,272.7901mm,343.12,Top
LED57,SKC6812RGBW,LED_SKC6812RGBW_5050,100.1121mm,281.4278mm,346.88,Top
LED58,SKC6812RGBW,LED_SKC6812RGBW_5050,67.3799mm,287.9386mm,350.62,Top
LED59,SKC6812RGBW,LED_SKC6812RGBW_5050,34.2920mm,292.2948mm,354.38,Top
LED60,SKC6812RGBW,LED_SKC6812RGBW_5050,0.9900mm,294.4775mm,358.12,Top
LED61,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0090mm,324.5221mm,358.33,Top
