Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.157,28.7875,86.25,top
C10,29.5021,85.7861,81.0,top
C100,29.2572,447.6325,85.909,top
C101,60.7475,444.7426,83.182,top
C102,92.0646,440.3577,80.455,top
C103,123.1376,434.4877,77.727,top
C104,153.8961,427.1458,75.0,top
C105,184.2704,418.3486,72.273,top
C106,214.1918,408.1162,69.545,top
C107,243.5923,396.4715,66.818,top
C108,272.4054,383.4412,64.091,top
C109,300.566,369.0546,61.364,top
C11,60.7213,79.4125,75.0,top
C12,91.1031,69.8105,69.0,top
C13,120.315,57.0852,63.0,top
C14,133.9347,83.8154,63.0,top
C15,101.8542,97.8179,69.0,top
C16,68.4858,108.3903,75.0,top
C17,34.1951,115.4168,81.0,top
C18,-0.6423,118.8205,87.0,top
C19,-2.2495,148.9106,87.5,top
C2,29.5804,24.9324,78.75,top
C20,29.438,146.3528,82.5,top
C21,60.7819,141.0431,77.5,top
C22,91.5438,133.0217,72.5,top
C23,121.4896,122.3498,67.5,top
C24,150.3912,109.1085,62.5,top
C25,164.2437,135.7189,62.5,top
C26,132.9701,150.0662,67.5,top
C27,100.565,161.6333,72.5,top
C28,67.2751,170.332,77.5,top
C29,33.3538,176.0961,82.5,top
C3,60.5431,16.9678,71.25,top
C30,-0.9409,178.882,87.5,top
C31,-2.2762,208.9453,87.857,top
C32,29.3864,206.7564,83.571,top
C33,60.7968,202.2073,79.286,top
C34,91.7795,195.3236,75.0,top
C35,122.1612,186.1438,70.714,top
C36,151.7718,174.7193,66.429,top
C37,180.446,161.1139,62.143,top
C38,194.464,187.6374,62.143,top
C39,163.7686,202.2162,66.429,top
C4,90.2012,5.0298,63.75,top
C40,132.0695,214.4603,70.714,top
C41,99.5441,224.3014,75.0,top
C42,66.3742,231.6843,79.286,top
C43,32.7454,236.5677,83.571,top
C44,-1.1545,238.9244,87.857,top
C45,-2.2963,268.9713,88.125,top
C46,29.3446,267.0582,84.375,top
C47,60.7926,263.0796,80.625,top
C48,91.913,257.0529,76.875,top
C49,122.5726,249.0036,73.125,top
C5,103.4699,31.936,63.75,top
C50,152.6402,238.9664,69.375,top
C51,181.9869,226.9841,65.625,top
C52,210.4871,213.1081,61.875,top
