Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED1,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0000mm,84.8943mm,358.75,Top
LED2,SKC6812RGBW,LED_SKC6812RGBW_5050,30.0759mm,83.5812mm,356.25,Top
LED3,SKC6812RGBW,LED_SKC6812RGBW_5050,60.0659mm,80.9574mm,353.75,Top
LED4,SKC6812RGBW,LED_SKC6812RGBW_5050,89.9129mm,77.0280mm,351.25,Top
LED5,SKC6812RGBW,LED_SKC6812RGBW_5050,119.5601mm,71.8004mm,348.75,Top
LED6,SKC6812RGBW,LED_SKC6812RGBW_5050,148.9510mm,65.2846mm,346.25,Top
LED7,SKC6812RGBW,LED_SKC6812RGBW_5050,178.0297mm,57.4929mm,343.75,Top
LED8,SKC6812RGBW,LED_SKC6812RGBW_5050,206.7410mm,48.4403mm,341.25,Top
LED9,SKC6812RGBW,LED_SKC6812RGBW_5050,235.0300mm,38.1440mm,338.75,Top
LED10,SKC6812RGBW,LED_SKC6812RGBW_5050,262.8429mm,26.6235mm,336.25,Top
LED11,SKC6812RGBW,LED_SKC6812RGBW_5050,290.1269mm,13.9007mm,333.75,Top
LED12,SKC6812RGBW,LED_SKC6812RGBW_5050,316.8300mm,0.0000mm,331.25,Top
LED13,SKC6812RGBW,LED_SKC6812RGBW_5050,331.2596mm,26.3018mm,331.25,Top
LED14,SKC6812RGBW,LED_SKC6812RGBW_5050,303.3956mm,40.8069mm,333.75,Top
LED15,SKC6812RGBW,LED_SKC6812RGBW_5050,274.9253mm,54.0828mm,336.25,Top
LED16,SKC6812RGBW,LED_SKC6812RGBW_5050,245.9031mm,66.1042mm,338.75,Top
LED17,SKC6812RGBW,LED_SKC6812RGBW_5050,216.3841mm,76.8482mm,341.25,Top
LED18,SKC6812RGBW,LED_SKC6812RGBW_5050,186.4246mm,86.2944mm,343.75,Top
LED19,SKC6812RGBW,LED_SKC6812RGBW_5050,156.0816mm,94.4248mm,346.25,Top
LED20,SKC6812RGBW,LED_SKC6812RGBW_5050,125.4128mm,101.2239mm,348.75,Top
LED21,SKC6812RGBW,LED_SKC6812RGBW_5050,94.4766mm,106.6788mm,351.25,Top
LED22,SKC6812RGBW,LED_SKC6812RGBW_5050,63.3319mm,110.7791mm,353.75,Top
LED23,SKC6812RGBW,LED_SKC6812RGBW_5050,32.0380mm,113.5170mm,356.25,Top
LED24,SKC6812RGBW,LED_SKC6812RGBW_5050,0.6544mm,114.8872mm,358.75,Top
LED25,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0505mm,144.9065mm,358.85,Top
LED26,SKC6812RGBW,LED_SKC6812RGBW_5050,30.2316mm,143.6902mm,356.54,Top
LED27,SKC6812RGBW,LED_SKC6812RGBW_5050,60.3392mm,141.2597mm,354.23,Top
LED28,SKC6812RGBW,LED_SKC6812RGBW_5050,90.3246mm,137.6188mm,351.92,Top
LED29,SKC6812RGBW,LED_SKC6812RGBW_5050,120.1390mm,132.7735mm,349.62,Top
LED30,SKC6812RGBW,LED_SKC6812RGBW_5050,149.7342mm,126.7316mm,347.31,Top
LED31,SKC6812RGBW,LED_SKC6812RGBW_5050,179.0620mm,119.5029mm,345.00,Top
LED32,SKC6812RGBW,LED_SKC6812RGBW_5050,208.0750mm,111.0992mm,342.69,Top
LED33,SKC6812RGBW,LED_SKC6812RGBW_5050,236.7261mm,101.5340mm,340.38,Top
LED34,SKC6812RGBW,LED_SKC6812RGBW_5050,264.9688mm,90.8230mm,338.08,Top
LED35,SKC6812RGBW,LED_SKC6812RGBW_5050,292.7573mm,78.9834mm,335.77,Top
LED36,SKC6812RGBW,LED_SKC6812RGBW_5050,320.0466mm,66.0345mm,333.46,Top
LED37,SKC6812RGBW,LED_SKC6812RGBW_5050,346.7923mm,51.9973mm,331.15,Top
LED38,SKC6812RGBW,LED_SKC6812RGBW_5050,361.2661mm,78.2748mm,331.15,Top
LED39,SKC6812RGBW,LED_SKC6812RGBW_5050,333.4505mm,92.8736mm,333.46,Top
LED40,SKC6812RGBW,LED_SKC6812RGBW_5050,305.0697mm,106.3404mm,335.77,Top
LED41,SKC6812RGBW,LED_SKC6812RGBW_5050,276.1697mm,118.6536mm,338.08,Top
LED42,SKC6812RGBW,LED_SKC6812RGBW_5050,246.7972mm,129.7931mm,340.38,Top
LED43,SKC6812RGBW,LED_SKC6812RGBW_5050,217.0001mm,139.7408mm,342.69,Top
LED44,SKC6812RGBW,LED_SKC6812RGBW_5050,186.8266mm,148.4807mm,345.00,Top
LED45,SKC6812RGBW,LED_SKC6812RGBW_5050,156.3256mm,155.9985mm,347.31,Top
LED46,SKC6812RGBW,LED_SKC6812RGBW_5050,125.5467mm,162.2821mm,349.62,Top
LED47,SKC6812RGBW,LED_SKC6812RGBW_5050,94.5397mm,167.3212mm,351.92,Top
LED48,SKC6812RGBW,LED_SKC6812RGBW_5050,63.3549mm,171.1077mm,354.23,Top
LED49,SKC6812RGBW,LED_SKC6812RGBW_5050,32.0430mm,173.6355mm,356.54,Top
LED50,SKC6812RGBW,LED_SKC6812RGBW_5050,0.6546mm,174.9004mm,358.85,Top
LED51,SKC6812RGBW,LED_SKC6812RGBW_5050,0.0938mm,204.9169mm,358.93,Top
LED52,SKC6812RGBW,LED_SKC6812RGBW_5050,30.3648mm,203.7843mm,356.79,Top
LED53,SKC6812RGBW,LED_SKC6812RGBW_5050,60.5723mm,201.5205mm,354.64,Top
LED54,SKC6812RGBW,LED_SKC6812RGBW_5050,90.6739mm,198.1289mm,352.50,Top
LED55,SKC6812RGBW,LED_SKC6812RGBW_5050,120.6278mm,193.6141mm,350.36,Top
LED56,SKC6812RGBW,LED_SKC6812RGBW_5050,150.3918mm,187.9824mm,348.21,Top
LED57,SKC6812RGBW,LED_SKC6812RGBW_5050,179.9245mm,181.2418mm,346.07,Top
LED58,SKC6812RGBW,LED_SKC6812RGBW_5050,209.1845mm,173.4016mm,343.93,Top
LED59,SKC6812RGBW,LED_SKC6812RGBW_5050,238.1309mm,164.4728mm,341.79,Top
LED60,SKC6812RGBW,LED_SKC6812RGBW_5050,266.7231mm,154.4679mm,339.64,Top
LED61,SKC6812RGBW,LED_SKC6812RGBW_5050,294.9213mm,143.4010mm,337.50,Top
LED62,SKC6812RGBW,LED_SKC6812RGBW_5050,322.6860mm,131.2874mm,335.36,Top
LED63,SKC6812RGBW,LED_SKC6812RGBW_5050,349.9783mm,118.1441mm,333.21,Top
LED64,SKC6812RGBW,LED_SKC6812RGBW_5050,376.7600mm,103.9895mm,331.07,Top
LED65,SKC6812RGBW,LED_SKC6812RGBW_5050,391.2716mm,130.2462mm,331.07,Top
LED66,SKC6812RGBW,LED_SKC6812RGBW_5050,363.4979mm,144.9250mm,333.21,Top
LED67,SKC6812RGBW,LED_SKC6812RGBW_5050,335.1948mm,158.5551mm,335.36,Top
LED68,SKC6812RGBW,LED_SKC6812RGBW_5050,306.4018mm,171.1173mm,337.50,Top
LED69,SKC6812RGBW,LED_SKC6812RGBW_5050,277.1593mm,182.5942mm,339.64,Top
LED70,SKC6812RGBW,LED_SKC6812RGBW_5050,247.5080mm,192.9696mm,341.79,Top
LED71,SKC6812RGBW,LED_SKC6812RGBW_5050,217.4896mm,202.2291mm,343.93,Top
LED72,SKC6812RGBW,LED_SKC6812RGBW_5050,187.1459mm,210.3597mm,346.07,Top
LED73,SKC6812RGBW,LED_SKC6812RGBW_5050,156.5194mm,217.3499mm,348.21,Top
LED74,SKC6812RGBW,LED_SKC6812RGBW_5050,125.6530mm,223.1902mm,350.36,Top
LED75,SKC6812RGBW,LED_SKC6812RGBW_5050,94.5897mm,227.8722mm,352.50,Top
LED76,SKC6812RGBW,LED_SKC6812RGBW_5050,63.3732mm,231.3895mm,354.64,Top
LED77,SKC6812RGBW,LED_SKC6812RGBW_5050,32.0469mm,233.7371mm,356.79,Top
LED78,SKC6812RGBW,LED_SKC6812RGBW_5050,0.6548mm,234.9117mm,358.93,Top
C1,100nF,C0603,-2.3534mm,89.3467mm,88.75,Top
C2,100nF,C0603,27.9189mm,88.1320mm,86.25,Top
C3,100nF,C0603,58.1095mm,85.5980mm,83.75,Top
C4,100nF,C0603,88.1608mm,81.7495mm,81.25,Top
C5,100nF,C0603,118.0156mm,76.5938mm,78.75,Top
C6,100nF,C0603,147.6170mm,70.1408mm,76.25,Top
C7,100nF,C0603,176.9088mm,62.4027mm,73.75,Top
C8,100nF,C0603,205.8354mm,53.3943mm,71.25,Top
C9,100nF,C0603,234.3413mm,43.1328mm,68.75,Top
C10,100nF,C0603,262.3725mm,31.6376mm,66.25,Top
C11,100nF,C0603,289.8756mm,18.9305mm,63.75,Top
C12,100nF,C0603,316.7984mm,5.0360mm,61.25,Top
C13,100nF,C0603,331.2280mm,31.3378mm,61.25,Top
C14,100nF,C0603,303.1443mm,45.8367mm,63.75,Top
C15,100nF,C0603,274.4549mm,59.0969mm,66.25,Top
C16,100nF,C0603,245.2144mm,71.0930mm,68.75,Top
C17,100nF,C0603,215.4785mm,81.8022mm,71.25,Top
C18,100nF,C0603,185.3037mm,91.2042mm,73.75,Top
C19,100nF,C0603,154.7476mm,99.2810mm,76.25,Top
C20,100nF,C0603,123.8683mm,106.0173mm,78.75,Top
C21,100nF,C0603,92.7245mm,111.4003mm,81.25,Top
C22,100nF,C0603,61.3755mm,115.4197mm,83.75,Top
C23,100nF,C0603,29.8810mm,118.0678mm,86.25,Top
C24,100nF,C0603,-1.6990mm,119.3396mm,88.75,Top
C25,100nF,C0603,-2.3104mm,149.3549mm,88.85,Top
C26,100nF,C0603,28.0518mm,148.2301mm,86.54,Top
C27,100nF,C0603,58.3439mm,145.8837mm,84.23,Top
C28,100nF,C0603,88.5171mm,142.3194mm,81.92,Top
C29,100nF,C0603,118.5223mm,137.5431mm,79.61,Top
C30,100nF,C0603,148.3108mm,131.5624mm,77.31,Top
C31,100nF,C0603,177.8343mm,124.3871mm,75.00,Top
C32,100nF,C0603,207.0450mm,116.0289mm,72.69,Top
C33,100nF,C0603,235.8953mm,106.5011mm,70.39,Top
C34,100nF,C0603,264.3388mm,95.8196mm,68.08,Top
C35,100nF,C0603,292.3290mm,84.0013mm,65.77,Top
C36,100nF,C0603,319.8206mm,71.0655mm,63.46,Top
C37,100nF,C0603,346.7691mm,57.0334mm,61.15,Top
C38,100nF,C0603,361.2429mm,83.3109mm,61.15,Top
C39,100nF,C0603,333.2245mm,97.9046mm,63.46,Top
C40,100nF,C0603,304.6414mm,111.3583mm,65.77,Top
C41,100nF,C0603,275.5397mm,123.6502mm,68.08,Top
C42,100nF,C0603,245.9664mm,134.7602mm,70.39,Top
C43,100nF,C0603,215.9701mm,144.6705mm,72.69,Top
C44,100nF,C0603,185.5989mm,153.3649mm,75.00,Top
C45,100nF,C0603,154.9022mm,160.8293mm,77.31,Top
C46,100nF,C0603,123.9300mm,167.0517mm,79.61,Top
C47,100nF,C0603,92.7322mm,172.0218mm,81.92,Top
C48,100nF,C0603,61.3596mm,175.7317mm,84.23,Top
C49,100nF,C0603,29.8632mm,178.1754mm,86.54,Top
