Designator,Mid X,Mid Y,Rotation,Layer
C1,2.3534,80.4419,268.75,top
C10,263.3133,21.6094,246.25,top
C11,290.3782,8.8709,243.75,top
C12,316.8616,-5.036,241.25,top
C13,336.2956,26.3334,331.25,top
C14,303.1443,45.8367,63.75,top
C15,274.4549,59.0969,66.25,top
C16,245.2144,71.093,68.75,top
C17,215.4785,81.8022,71.25,top
C18,185.3037,91.2042,73.75,top
C19,154.7476,99.281,76.25,top
C2,32.2329,79.0304,266.25,top
C20,123.8683,106.0173,78.75,top
C21,92.7245,111.4003,81.25,top
C22,61.3755,115.4197,83.75,top
C23,29.881,118.0678,86.25,top
C24,-1.699,119.3396,88.75,top
C25,4.4989,147.2674,358.846,top
C26,32.4114,139.1503,266.538,top
C27,62.3345,136.6357,264.231,top
C28,92.1321,132.9182,261.923,top
C29,121.7557,128.0039,259.615,top
C3,62.0223,76.3168,263.75,top
C30,151.1576,121.9008,257.308,top
C31,180.2897,114.6187,255.0,top
C32,209.105,106.1695,252.692,top
C33,237.5569,96.5669,250.385,top
C34,265.5988,85.8264,248.077,top
C35,293.1856,73.9655,245.769,top
C36,320.2726,61.0035,243.462,top
C37,346.8155,46.9612,241.154,top
C38,366.3022,78.298,331.154,top
C39,333.2245,97.9046,63.462,top
C4,91.665,72.3065,261.25,top
C40,304.6414,111.3583,65.769,top
C41,275.5397,123.6502,68.077,top
C42,245.9664,134.7602,70.385,top
C43,215.9701,144.6705,72.692,top
C44,185.5989,153.3649,75.0,top
C45,154.9022,160.8293,77.308,top
C46,123.93,167.0517,79.615,top
C47,92.7322,172.0218,81.923,top
C48,61.3596,175.7317,84.231,top
C49,29.8632,178.1754,86.538,top
C5,121.1046,67.007,258.75,top
C50,-1.7063,179.3488,88.846,top
C51,4.5388,207.2842,358.929,top
C52,32.5643,199.2539,266.786,top
C53,62.6008,196.911,264.643,top
C54,92.5286,193.4468,262.5,top
C55,122.3061,188.8659,260.357,top
C56,151.8914,183.1747,258.214,top
C57,181.2433,176.3814,256.071,top
C58,210.3207,168.4953,253.929,top
C59,239.0828,159.5275,251.786,top
C6,150.285,60.4284,256.25,top
C60,267.4895,149.4904,249.643,top
C61,295.501,138.3984,247.5,top
C62,323.0782,126.2666,245.357,top
C63,350.1825,113.1121,243.214,top
C64,376.7759,98.9534,241.071,top
C65,396.3077,130.2621,331.071,top
C66,363.2937,149.957,63.214,top
C67,334.8026,163.5759,65.357,top
C68,305.8221,176.1199,67.5,top
C69,276.3929,187.5717,69.643,top
C7,179.1506,52.5831,253.75,top
C70,246.5561,197.9149,71.786,top
C71,216.3534,207.1354,73.929,top
C72,185.8271,215.2201,76.071,top
C73,155.0198,222.1576,78.214,top
C74,123.9747,227.9384,80.357,top
C75,92.735,232.5543,82.5,top
C76,61.3447,235.999,84.643,top
C77,29.8474,238.2675,86.786,top
C78,-1.7125,239.3567,88.929,top
C8,207.6466,43.4863,251.25,top
C9,235.7187,33.1552,248.75,top
J_IN,0.32721342958312016,99.89076678586878,1.25,bottom
J_OUT,370.88749038492716,124.37359196363649,28.929000000000002,bottom
LED1,0.0,84.8943,178.75,top
LED10,262.8429,26.6235,156.25,top
LED11,290.1269,13.9007,153.75,top
LED12,316.83,0.0,151.25,top
LED13,331.2596,26.3018,241.25,top
LED14,303.3956,40.8069,333.75,top
LED15,274.9253,54.0828,336.25,top
LED16,245.9031,66.1042,338.75,top
LED17,216.3841,76.8482,341.25,top
LED18,186.4246,86.2944,343.75,top
LED19,156.0816,94.4248,346.25,top
LED2,30.0759,83.5812,176.25,top
LED20,125.4128,101.2239,348.75,top
LED21,94.4766,106.6788,351.25,top
LED22,63.3319,110.7791,353.75,top
LED23,32.038,113.517,356.25,top
LED24,0.6544,114.8872,358.75,top
LED25,0.0505,144.9065,268.846,top
LED26,30.2316,143.6902,176.538,top
LED27,60.3392,141.2597,174.231,top
LED28,90.3246,137.6188,171.923,top
LED29,120.139,132.7735,169.615,top
LED3,60.0659,80.9574,173.75,top
LED30,149.7342,126.7316,167.308,top
LED31,179.062,119.5029,165.0,top
LED32,208.075,111.0992,162.692,top
LED33,236.7261,101.534,160.385,top
LED34,264.9688,90.823,158.077,top
LED35,292.7573,78.9834,155.769,top
LED36,320.0466,66.0345,153.462,top
LED37,346.7923,51.9973,151.154,top
LED38,361.2661,78.2748,241.154,top
LED39,333.4505,92.8736,333.462,top
LED4,89.9129,77.028,171.25,top
LED40,305.0697,106.3404,335.769,top
LED41,276.1697,118.6536,338.077,top
LED42,246.7972,129.7931,340.385,top
LED43,217.0001,139.7408,342.692,top
LED44,186.8266,148.4807,345.0,top
LED45,156.3256,155.9985,347.308,top
LED46,125.5467,162.2821,349.615,top
LED47,94.5397,167.3212,351.923,top
LED48,63.3549,171.1077,354.231,top
LED49,32.043,173.6355,356.538,top
LED5,119.5601,71.8004,168.75,top
LED50,0.6546,174.9004,358.846,top
LED51,0.0938,204.9169,268.929,top
LED52,30.3648,203.7843,176.786,top
LED53,60.5723,201.5205,174.643,top
LED54,90.6739,198.1289,172.5,top
LED55,120.6278,193.6141,170.357,top
LED56,150.3918,187.9824,168.214,top
LED57,179.9245,181.2418,166.071,top
LED58,209.1845,173.4016,163.929,top
LED59,238.1309,164.4728,161.786,top
LED6,148.951,65.2846,166.25,top
LED60,266.7231,154.4679,159.643,top
LED61,294.9213,143.401,157.5,top
LED62,322.686,131.2874,155.357,top
LED63,349.9783,118.1441,153.214,top
LED64,376.76,103.9895,151.071,top
LED65,391.2716,130.2462,241.071,top
LED66,363.4979,144.925,333.214,top
LED67,335.1948,158.5551,335.357,top
LED68,306.4018,171.1173,337.5,top
LED69,277.1593,182.5942,339.643,top
LED7,178.0297,57.4929,163.75,top
LED70,247.508,192.9696,341.786,top
LED71,217.4896,202.2291,343.929,top
LED72,187.1459,210.3597,346.071,top
LED73,156.5194,217.3499,348.214,top
LED74,125.653,223.1902,350.357,top
LED75,94.5897,227.8722,352.5,top
LED76,63.3732,231.3895,354.643,top
LED77,32.0469,233.7371,356.786,top
LED78,0.6548,234.9117,358.929,top
LED8,206.741,48.4403,161.25,top
LED9,235.03,38.144,158.75,top
MH1,-8.8023,76.0585,0.0,top
MH2,-8.8023,243.0585,0.0,top
MH3,320.0351,-12.0532,0.0,top
MH4,403.5351,132.5731,0.0,top
