Ref,Val,Package,PosX_mm,PosY_mm,GlobalX_mm,GlobalY_mm,Rot_deg,Side,Universe,Channel
LED1,SK6812,LED5050,224.86,235.98,15.00,25.98,30.0,top,1,1
LED2,SK6812,LED5050,239.86,210.00,30.00,0.00,90.0,top,1,5
LED3,SK6812,LED5050,224.86,184.02,15.00,-25.98,150.0,top,1,9
LED4,SK6812,LED5050,194.86,184.02,-15.00,-25.98,210.0,top,1,13
LED5,SK6812,LED5050,179.86,210.00,-30.00,-0.00,270.0,top,1,17
LED6,SK6812,LED5050,194.86,235.98,-15.00,25.98,330.0,top,1,21
LED7,SK6812,LED5050,194.33,267.96,-15.53,57.96,345.0,top,1,25
LED8,SK6812,LED5050,167.43,252.43,-42.43,42.43,315.0,top,1,29
LED9,SK6812,LED5050,151.90,225.53,-57.96,15.53,285.0,top,1,33
LED10,SK6812,LED5050,151.90,194.47,-57.96,-15.53,255.0,top,1,37
LED11,SK6812,LED5050,167.43,167.57,-42.43,-42.43,225.0,top,1,41
LED12,SK6812,LED5050,194.33,152.04,-15.53,-57.96,195.0,top,1,45
LED13,SK6812,LED5050,225.39,152.04,15.53,-57.96,165.0,top,1,49
LED14,SK6812,LED5050,252.29,167.57,42.43,-42.43,135.0,top,1,53
LED15,SK6812,LED5050,267.82,194.47,57.96,-15.53,105.0,top,1,57
LED16,SK6812,LED5050,267.82,225.53,57.96,15.53,75.0,top,1,61
LED17,SK6812,LED5050,252.29,252.43,42.43,42.43,45.0,top,1,65
LED18,SK6812,LED5050,225.39,267.96,15.53,57.96,15.0,top,1,69
LED19,SK6812,LED5050,225.49,298.63,15.63,88.63,10.0,top,1,73
LED20,SK6812,LED5050,254.86,287.94,45.00,77.94,30.0,top,1,77
LED21,SK6812,LED5050,278.80,267.85,68.94,57.85,50.0,top,1,81
LED22,SK6812,LED5050,294.43,240.78,84.57,30.78,70.0,top,1,85
LED23,SK6812,LED5050,299.86,210.00,90.00,0.00,90.0,top,1,89
LED24,SK6812,LED5050,294.43,179.22,84.57,-30.78,110.0,top,1,93
LED25,SK6812,LED5050,278.80,152.15,68.94,-57.85,130.0,top,1,97
LED26,SK6812,LED5050,254.86,132.06,45.00,-77.94,150.0,top,1,101
LED27,SK6812,LED5050,225.49,121.37,15.63,-88.63,170.0,top,1,105
LED28,SK6812,LED5050,194.23,121.37,-15.63,-88.63,190.0,top,1,109
LED29,SK6812,LED5050,164.86,132.06,-45.00,-77.94,210.0,top,1,113
LED30,SK6812,LED5050,140.92,152.15,-68.94,-57.85,230.0,top,1,117
LED31,SK6812,LED5050,125.29,179.22,-84.57,-30.78,250.0,top,1,121
LED32,SK6812,LED5050,119.86,210.00,-90.00,-0.00,270.0,top,1,125
LED33,SK6812,LED5050,125.29,240.78,-84.57,30.78,290.0,top,1,129
LED34,SK6812,LED5050,140.92,267.85,-68.94,57.85,310.0,top,1,133
LED35,SK6812,LED5050,164.86,287.94,-45.00,77.94,330.0,top,1,137
LED36,SK6812,LED5050,194.23,298.63,-15.63,88.63,350.0,top,1,141
LED37,SK6812,LED5050,194.82,329.05,-15.04,119.05,352.8,top,1,145
LED38,SK6812,LED5050,165.68,321.57,-44.17,111.57,338.4,top,1,149
LED39,SK6812,LED5050,139.33,307.08,-70.53,97.08,324.0,top,1,153
LED40,SK6812,LED5050,117.40,286.49,-92.46,76.49,309.6,top,1,157
LED41,SK6812,LED5050,101.28,261.09,-108.58,51.09,295.2,top,1,161
LED42,SK6812,LED5050,91.99,232.49,-117.87,22.49,280.8,top,1,165
LED43,SK6812,LED5050,90.10,202.47,-119.76,-7.53,266.4,top,1,169
LED44,SK6812,LED5050,95.73,172.92,-114.13,-37.08,252.0,top,1,173
LED45,SK6812,LED5050,108.54,145.70,-101.32,-64.30,237.6,top,1,177
LED46,SK6812,LED5050,127.71,122.52,-82.15,-87.48,223.2,top,1,181
LED47,SK6812,LED5050,152.05,104.84,-57.81,-105.16,208.8,top,1,185
LED48,SK6812,LED5050,180.02,93.77,-29.84,-116.23,194.4,top,1,189
LED49,SK6812,LED5050,209.86,90.00,0.00,-120.00,180.0,top,1,193
LED50,SK6812,LED5050,239.70,93.77,29.84,-116.23,165.6,top,1,197
LED51,SK6812,LED5050,267.67,104.84,57.81,-105.16,151.2,top,1,201
LED52,SK6812,LED5050,292.01,122.52,82.15,-87.48,136.8,top,1,205
LED53,SK6812,LED5050,311.18,145.70,101.32,-64.30,122.4,top,1,209
LED54,SK6812,LED5050,323.99,172.92,114.13,-37.08,108.0,top,1,213
LED55,SK6812,LED5050,329.62,202.47,119.76,-7.53,93.6,top,1,217
LED56,SK6812,LED5050,327.73,232.49,117.87,22.49,79.2,top,1,221
LED57,SK6812,LED5050,318.44,261.09,108.58,51.09,64.8,top,1,225
LED58,SK6812,LED5050,302.32,286.49,92.46,76.49,50.4,top,1,229
LED59,SK6812,LED5050,280.39,307.08,70.53,97.08,36.0,top,1,233
LED60,SK6812,LED5050,254.03,321.57,44.17,111.57,21.6,top,1,237
LED61,SK6812,LED5050,224.90,329.05,15.04,119.05,7.2,top,1,241
LED62,SK6812,LED5050,225.04,359.23,15.18,149.23,5.8,top,1,245
LED63,SK6812,LED5050,254.76,353.12,44.90,143.12,17.4,top,1,249
LED64,SK6812,LED5050,282.66,341.15,72.80,131.15,29.0,top,1,253
LED65,SK6812,LED5050,307.57,323.81,97.71,113.81,40.6,top,1,257
LED66,SK6812,LED5050,328.48,301.82,118.62,91.82,52.3,top,1,261
LED67,SK6812,LED5050,344.53,276.06,134.67,66.06,63.9,top,1,265
LED68,SK6812,LED5050,355.07,247.60,145.21,37.60,75.5,top,1,269
LED69,SK6812,LED5050,359.67,217.60,149.81,7.60,87.1,top,1,273
LED70,SK6812,LED5050,358.13,187.29,148.27,-22.71,98.7,top,1,277
LED71,SK6812,LED5050,350.52,157.90,140.66,-52.10,110.3,top,1,281
LED72,SK6812,LED5050,337.16,130.66,127.30,-79.34,121.9,top,1,285
LED73,SK6812,LED5050,318.58,106.65,108.72,-103.35,133.5,top,1,289
LED74,SK6812,LED5050,295.55,86.89,85.69,-123.11,145.2,top,1,293
LED75,SK6812,LED5050,269.01,72.16,59.15,-137.84,156.8,top,1,297
LED76,SK6812,LED5050,240.05,63.07,30.19,-146.93,168.4,top,1,301
LED77,SK6812,LED5050,209.86,60.00,0.00,-150.00,180.0,top,1,305
LED78,SK6812,LED5050,179.67,63.07,-30.19,-146.93,191.6,top,1,309
LED79,SK6812,LED5050,150.71,72.16,-59.15,-137.84,203.2,top,1,313
LED80,SK6812,LED5050,124.17,86.89,-85.69,-123.11,214.8,top,1,317
LED81,SK6812,LED5050,101.14,106.65,-108.72,-103.35,226.5,top,1,321
LED82,SK6812,LED5050,82.56,130.66,-127.30,-79.34,238.1,top,1,325
LED83,SK6812,LED5050,69.20,157.90,-140.66,-52.10,249.7,top,1,329
LED84,SK6812,LED5050,61.59,187.29,-148.27,-22.71,261.3,top,1,333
LED85,SK6812,LED5050,60.05,217.60,-149.81,7.60,272.9,top,1,337
LED86,SK6812,LED5050,64.65,247.60,-145.21,37.60,284.5,top,1,341
LED87,SK6812,LED5050,75.19,276.06,-134.67,66.06,296.1,top,1,345
LED88,SK6812,LED5050,91.24,301.82,-118.62,91.82,307.7,top,1,349
LED89,SK6812,LED5050,112.15,323.81,-97.71,113.81,319.4,top,1,353
