Ref,Val,Package,PosX_mm,PosY_mm,GlobalX_mm,GlobalY_mm,Rot_deg,Side,Universe,Channel
LED1,SK6812,LED5050,0.00,24.24,15.70,239.49,3.7,top,2,177
LED2,SK6812,LED5050,31.12,20.14,46.82,235.39,11.3,top,2,181
LED3,SK6812,LED5050,61.45,12.01,77.15,227.26,18.8,top,2,185
LED4,SK6812,LED5050,90.45,0.00,106.15,215.25,26.2,top,2,189
LED5,SK6812,LED5050,103.72,26.91,119.42,242.16,26.2,top,2,193
LED6,SK6812,LED5050,71.09,40.42,86.79,255.67,18.8,top,2,197
LED7,SK6812,LED5050,36.98,49.56,52.67,264.81,11.3,top,2,201
LED8,SK6812,LED5050,1.96,54.17,17.66,269.42,3.7,top,2,205
LED9,SK6812,LED5050,0.00,84.34,15.70,299.59,3.0,top,2,209
LED10,SK6812,LED5050,31.23,81.06,46.93,296.31,9.0,top,2,213
LED11,SK6812,LED5050,61.95,74.53,77.65,289.78,15.0,top,2,217
LED12,SK6812,LED5050,91.81,64.82,107.51,280.07,21.0,top,2,221
LED13,SK6812,LED5050,120.50,52.05,136.20,267.30,27.0,top,2,225
LED14,SK6812,LED5050,134.12,78.78,149.82,294.03,27.0,top,2,229
LED15,SK6812,LED5050,102.56,92.83,118.26,308.08,21.0,top,2,233
LED16,SK6812,LED5050,69.71,103.51,85.41,318.76,15.0,top,2,237
LED17,SK6812,LED5050,35.93,110.69,51.62,325.94,9.0,top,2,241
LED18,SK6812,LED5050,1.57,114.30,17.27,329.55,3.0,top,2,245
LED19,SK6812,LED5050,0.01,144.41,15.70,359.66,2.5,top,2,249
LED20,SK6812,LED5050,31.29,141.67,46.99,356.92,7.5,top,2,253
LED21,SK6812,LED5050,62.22,136.22,77.92,351.47,12.5,top,2,257
LED22,SK6812,LED5050,92.56,128.09,108.25,343.34,17.5,top,2,261
LED23,SK6812,LED5050,122.07,117.35,137.77,332.60,22.5,top,2,265
LED24,SK6812,LED5050,150.53,104.07,166.23,319.32,27.5,top,2,269
LED25,SK6812,LED5050,164.39,130.68,180.08,345.93,27.5,top,2,273
LED26,SK6812,LED5050,133.55,145.06,149.25,360.31,22.5,top,2,277
LED27,SK6812,LED5050,101.58,156.70,117.28,371.95,17.5,top,2,281
LED28,SK6812,LED5050,68.71,165.51,84.41,380.76,12.5,top,2,285
LED29,SK6812,LED5050,35.21,171.41,50.91,386.66,7.5,top,2,289
LED30,SK6812,LED5050,1.31,174.38,17.01,389.63,2.5,top,2,293
LED31,SK6812,LED5050,0.01,204.46,15.70,419.71,2.1,top,2,297
