Ref,Val,Package,PosX_mm,PosY_mm,GlobalX_mm,GlobalY_mm,Rot_deg,Side,Universe,Channel
LED1,SK6812,LED5050,0.00,84.89,15.05,689.84,1.2,top,13,285
LED2,SK6812,LED5050,30.08,83.58,45.13,688.52,3.7,top,13,289
LED3,SK6812,LED5050,60.07,80.96,75.12,685.90,6.3,top,13,293
LED4,SK6812,LED5050,89.91,77.03,104.97,681.97,8.8,top,13,297
LED5,SK6812,LED5050,119.56,71.80,134.61,676.74,11.3,top,13,301
LED6,SK6812,LED5050,148.95,65.28,164.00,670.23,13.7,top,13,305
LED7,SK6812,LED5050,178.03,57.49,193.08,662.43,16.3,top,13,309
LED8,SK6812,LED5050,206.74,48.44,221.79,653.38,18.8,top,13,313
LED9,SK6812,LED5050,235.03,38.14,250.08,643.09,21.3,top,13,317
LED10,SK6812,LED5050,262.84,26.62,277.90,631.56,23.8,top,13,321
LED11,SK6812,LED5050,290.13,13.90,305.18,618.84,26.2,top,13,325
LED12,SK6812,LED5050,316.83,0.00,331.88,604.94,28.7,top,13,329
LED13,SK6812,LED5050,331.26,26.30,346.31,631.24,28.7,top,13,333
LED14,SK6812,LED5050,303.40,40.81,318.45,645.75,26.2,top,13,337
LED15,SK6812,LED5050,274.93,54.08,289.98,659.02,23.8,top,13,341
LED16,SK6812,LED5050,245.90,66.10,260.96,671.05,21.3,top,13,345
LED17,SK6812,LED5050,216.38,76.85,231.44,681.79,18.8,top,13,349
LED18,SK6812,LED5050,186.42,86.29,201.48,691.24,16.3,top,13,353
LED19,SK6812,LED5050,156.08,94.42,171.13,699.37,13.7,top,13,357
LED20,SK6812,LED5050,125.41,101.22,140.47,706.17,11.3,top,13,361
LED21,SK6812,LED5050,94.48,106.68,109.53,711.62,8.8,top,13,365
LED22,SK6812,LED5050,63.33,110.78,78.38,715.72,6.3,top,13,369
LED23,SK6812,LED5050,32.04,113.52,47.09,718.46,3.7,top,13,373
LED24,SK6812,LED5050,0.65,114.89,15.71,719.83,1.2,top,13,377
LED25,SK6812,LED5050,0.05,144.91,15.10,749.85,1.2,top,13,381
LED26,SK6812,LED5050,30.23,143.69,45.28,748.63,3.5,top,13,385
LED27,SK6812,LED5050,60.34,141.26,75.39,746.20,5.8,top,13,389
LED28,SK6812,LED5050,90.32,137.62,105.38,742.56,8.1,top,13,393
LED29,SK6812,LED5050,120.14,132.77,135.19,737.71,10.4,top,13,397
LED30,SK6812,LED5050,149.73,126.73,164.79,731.67,12.7,top,13,401
LED31,SK6812,LED5050,179.06,119.50,194.11,724.44,15.0,top,13,405
LED32,SK6812,LED5050,208.08,111.10,223.13,716.04,17.3,top,13,409
LED33,SK6812,LED5050,236.73,101.53,251.78,706.48,19.6,top,13,413
LED34,SK6812,LED5050,264.97,90.82,280.02,695.76,21.9,top,13,417
LED35,SK6812,LED5050,292.76,78.98,307.81,683.92,24.2,top,13,421
LED36,SK6812,LED5050,320.05,66.03,335.10,670.98,26.5,top,13,425
LED37,SK6812,LED5050,346.79,52.00,361.84,656.94,28.8,top,13,429
LED38,SK6812,LED5050,361.27,78.27,376.32,683.22,28.8,top,13,433
LED39,SK6812,LED5050,333.45,92.87,348.50,697.82,26.5,top,13,437
LED40,SK6812,LED5050,305.07,106.34,320.12,711.28,24.2,top,13,441
LED41,SK6812,LED5050,276.17,118.65,291.22,723.60,21.9,top,13,445
LED42,SK6812,LED5050,246.80,129.79,261.85,734.73,19.6,top,13,449
LED43,SK6812,LED5050,217.00,139.74,232.05,744.68,17.3,top,13,453
LED44,SK6812,LED5050,186.83,148.48,201.88,753.42,15.0,top,13,457
LED45,SK6812,LED5050,156.33,156.00,171.38,760.94,12.7,top,13,461
LED46,SK6812,LED5050,125.55,162.28,140.60,767.22,10.4,top,13,465
LED47,SK6812,LED5050,94.54,167.32,109.59,772.26,8.1,top,13,469
LED48,SK6812,LED5050,63.35,171.11,78.41,776.05,5.8,top,13,473
LED49,SK6812,LED5050,32.04,173.64,47.10,778.58,3.5,top,13,477
LED50,SK6812,LED5050,0.65,174.90,15.71,779.84,1.2,top,13,481
LED51,SK6812,LED5050,0.09,204.92,15.15,809.86,1.1,top,13,485
LED52,SK6812,LED5050,30.36,203.78,45.42,808.73,3.2,top,13,489
LED53,SK6812,LED5050,60.57,201.52,75.62,806.46,5.4,top,13,493
LED54,SK6812,LED5050,90.67,198.13,105.73,803.07,7.5,top,13,497
LED55,SK6812,LED5050,120.63,193.61,135.68,798.56,9.6,top,13,501
LED56,SK6812,LED5050,150.39,187.98,165.44,792.92,11.8,top,13,505
LED57,SK6812,LED5050,179.92,181.24,194.98,786.18,13.9,top,13,509
LED58,SK6812,LED5050,209.18,173.40,224.24,778.34,16.1,top,14,1
LED59,SK6812,LED5050,238.13,164.47,253.18,769.41,18.2,top,14,5
LED60,SK6812,LED5050,266.72,154.47,281.78,759.41,20.4,top,14,9
LED61,SK6812,LED5050,294.92,143.40,309.97,748.34,22.5,top,14,13
LED62,SK6812,LED5050,322.69,131.29,337.74,736.23,24.6,top,14,17
LED63,SK6812,LED5050,349.98,118.14,365.03,723.09,26.8,top,14,21
LED64,SK6812,LED5050,376.76,103.99,391.81,708.93,28.9,top,14,25
LED65,SK6812,LED5050,391.27,130.25,406.32,735.19,28.9,top,14,29
LED66,SK6812,LED5050,363.50,144.93,378.55,749.87,26.8,top,14,33
LED67,SK6812,LED5050,335.19,158.56,350.25,763.50,24.6,top,14,37
LED68,SK6812,LED5050,306.40,171.12,321.45,776.06,22.5,top,14,41
LED69,SK6812,LED5050,277.16,182.59,292.21,787.54,20.4,top,14,45
LED70,SK6812,LED5050,247.51,192.97,262.56,797.91,18.2,top,14,49
LED71,SK6812,LED5050,217.49,202.23,232.54,807.17,16.1,top,14,53
LED72,SK6812,LED5050,187.15,210.36,202.20,815.30,13.9,top,14,57
LED73,SK6812,LED5050,156.52,217.35,171.57,822.29,11.8,top,14,61
LED74,SK6812,LED5050,125.65,223.19,140.71,828.13,9.6,top,14,65
LED75,SK6812,LED5050,94.59,227.87,109.64,832.81,7.5,top,14,69
LED76,SK6812,LED5050,63.37,231.39,78.43,836.33,5.4,top,14,73
LED77,SK6812,LED5050,32.05,233.74,47.10,838.68,3.2,top,14,77
LED78,SK6812,LED5050,0.65,234.91,15.71,839.85,1.1,top,14,81
